?character	?state	?description 
<http://purl.org/phenoscape/uuid/b31461f9-5411-4314-9a62-ca8b48b9772e>	<http://purl.org/phenoscape/uuid/4d42cc20-00de-4e8e-a5e8-047f3dd8765e>	Dorsal fin spines: Present
<http://purl.org/phenoscape/uuid/a910b3ba-0038-470d-9aa2-bd319485d317>	<http://purl.org/phenoscape/uuid/500ca634-1f42-4772-92c5-f43334a749ea>	Presence of caudal median cartilages. Absence in Esocoidei and Acanthomorphata is secondary by parsimony optimization: Presence of caudal median cartilages
<http://purl.org/phenoscape/uuid/ff106d16-2dda-4961-a13e-e5c969b9242d>	<http://purl.org/phenoscape/uuid/5e57cff6-6b59-46d8-b374-45639702fd31>	Basal fulcra anterior to dorsal fin (PATTERSON 1982, char. 19): present
<http://purl.org/phenoscape/uuid/f91502ee-690d-4fa1-afb5-aefd6bbd51dd>	<http://purl.org/phenoscape/uuid/fddeaf1f-251c-467f-a769-ce2710e1721a>	Spine precedes dorsal fins: present
<http://purl.org/phenoscape/uuid/8990a849-580c-4f2e-beb1-990519a66cb2>	<http://purl.org/phenoscape/uuid/54030832-50e6-441d-94c5-d46408bf86ad>	The filamentous anterior rays of the dorsal fin: The anterior rays of the dorsal fin, and the dorsal and ventral rays of the caudal fin are either approximately the same length as the neighboring rays or only slightly longer than those elements in most members of the Curimatidae
<http://purl.org/phenoscape/uuid/952f42aa-9ef3-4f15-9694-0f7c3e1a0fde>	<http://purl.org/phenoscape/uuid/54596a31-a3af-4057-bf87-67873595d136>	Median caudal cartilages: present
<http://purl.org/phenoscape/uuid/05a961a9-238f-4a69-92a3-5fc3c2e4f83a>	<http://purl.org/phenoscape/uuid/60e759c5-2ec5-476d-96f9-a37b7ecad12c>	Basal fulcra between dorsal and caudal fins (LONG 1988; GARDINER & SCHAEFFER 1989, char. A19; ZHU & SCHULTZE 2001, char. 188): present
<http://purl.org/phenoscape/uuid/a76a14f1-d2de-4990-88d0-ab3788e1448e>	<http://purl.org/phenoscape/uuid/621e6afd-ade2-45df-b464-7ee733b0ac2c>	Inner caudal fin rays: expanded
<http://purl.org/phenoscape/uuid/2a8f7436-eadd-4342-8272-dd4007c63fc3>	<http://purl.org/phenoscape/uuid/626649a3-d86f-40b1-adcf-87f7f5288514>	Hypural 2 fused with first ural centrum at all stages of development: Hypural 2 fused with first ural centrum at all stages of development
<http://purl.org/phenoscape/uuid/f8b5f411-1b52-4945-8370-f4b06f7da431>	<http://purl.org/phenoscape/uuid/65b9fb2c-5a55-4df8-b90e-3d3b94174efa>	pectoral-fin radials: present
<http://purl.org/phenoscape/uuid/f06f0006-e21a-47f6-84cd-80b93ea1fd0c>	<http://purl.org/phenoscape/uuid/68b8394c-c1cf-4139-8664-7f6d8b09fb9b>	Anterior ventral procurrent caudal-fin rays: (1) fused in laminar medial bones
<http://purl.org/phenoscape/uuid/2568a81f-5dbc-47c2-83f7-8f29d1902691>	<http://purl.org/phenoscape/uuid/69dd7187-96a3-46de-b4a3-6056a4763018>	Second hypural: not fused with first ural centrum
<http://purl.org/phenoscape/uuid/2ace384d-9324-406a-bdd4-e334a0978e4f>	<http://purl.org/phenoscape/uuid/6a94a6c9-0a19-43b1-a453-526bc2a1accf>	Pelvic fin: aplesodic
<http://purl.org/phenoscape/uuid/f684acdc-6ba3-4f2a-a0a1-b70f2f6e47de>	<http://purl.org/phenoscape/uuid/6bb79b77-591a-40f1-b14f-1097f2d1b4ec>	Space between hypurals 2 and 3: present
<http://purl.org/phenoscape/uuid/f4296fb0-1656-4a43-9fcc-7ee529556901>	<http://purl.org/phenoscape/uuid/6cc0c628-bda9-453a-bc8d-2804e0aa1174>	Expansion of penultimate principal caudal ray of lower caudal lobe in males: Expansion of penultimate principal caudal ray of lower caudal lobe in males
<http://purl.org/phenoscape/uuid/6b768f3e-ea12-408b-8bd0-2e766a203228>	<http://purl.org/phenoscape/uuid/70293ffd-0ed4-41fa-9126-041538473653>	Caudal-fin ray pump utilizing at least principal caudal-fin rays 10 and 11: absent
<http://purl.org/phenoscape/uuid/eef79a72-2af8-4639-aab7-7574c00d3e43>	<http://purl.org/phenoscape/uuid/77159545-0e37-4fa6-b9c4-d588d38ca99b>	Pelvic fin rays: elongated, reach further than tenth ray of anal fin
<http://purl.org/phenoscape/uuid/aca22dad-65fd-403d-a2f7-7ebc36555363>	<http://purl.org/phenoscape/uuid/772801da-3e60-4cf8-9500-522a79776a06>	Lepidotrichia basal segments at pectoral level: short
<http://purl.org/phenoscape/uuid/e0aecd11-5724-4fe1-8a77-f93bf40c3f69>	<http://purl.org/phenoscape/uuid/7779d1af-3ae9-4fcb-bef9-65a389eb49c2>	First hypural: articulating with first ural centrum
<http://purl.org/phenoscape/uuid/dc126dd5-14ee-4456-9843-b1af04066c15>	<http://purl.org/phenoscape/uuid/7a0ce8f1-14a8-43ed-95c0-feb80880f62c>	cartilaginous radials in fins: absent
<http://purl.org/phenoscape/uuid/1c28ea19-e389-405b-97be-eff5647d6251>	<http://purl.org/phenoscape/uuid/7a52fb2f-0d3e-42a0-bf73-1a5cab9965ce>	adipose fin skeleton: present
<http://purl.org/phenoscape/uuid/c90f4b88-591f-485d-aa79-8a67b3a152d6>	<http://purl.org/phenoscape/uuid/7a8e93b0-d7d2-4032-a34f-1e6cc2d5b36b>	Urodermals and 'urodermals': none
<http://purl.org/phenoscape/uuid/5699e335-b7ba-4d7e-93d4-64f0bf82abb9>	<http://purl.org/phenoscape/uuid/7d8c360d-c882-4bc4-b01b-140120c1af17>	Pelvic radial: present
<http://purl.org/phenoscape/uuid/1096413e-f06b-4e62-93c7-17c7ffc2d997>	<http://purl.org/phenoscape/uuid/7e8d23b5-bc77-497e-9db4-f3941c4c1b5d>	Caudal fin endoskeleton with one epural symmetrically opposing parhypural (Parenti 1981, Rosen & Parenti 1981): Caudal fin endoskeleton with one epural symmetrically opposing parhypural
<http://purl.org/phenoscape/uuid/17d00a52-e158-4797-8849-b81651eeb6eb>	<http://purl.org/phenoscape/uuid/7f40463c-fcaa-4831-90bf-276046f91903>	Posterior margin of the hypural plate: a posteriorly directed point
<http://purl.org/phenoscape/uuid/455b804e-3a73-4d3c-a9ef-8aaa4d139bb9>	<http://purl.org/phenoscape/uuid/814990d6-94c7-4d97-a1f7-be7d686b07a2>	Fringing fulcra in the dorsal lobe of caudal fin: present
<http://purl.org/phenoscape/uuid/0bcfa8ad-e08f-4c0f-9f67-a201a20fd132>	<http://purl.org/phenoscape/uuid/89e2dca5-95e2-409f-a9d2-7f1d257c44e8>	Mesomere 4: narrow or tapered
<http://purl.org/phenoscape/uuid/cc2dae44-2015-42af-af2b-e478550482c8>	<http://purl.org/phenoscape/uuid/8a7fc52d-cd35-4618-8ebb-68c1ff0d6602>	Caudal bony stays: absent or very small
<http://purl.org/phenoscape/uuid/8de8dccc-a848-4530-a601-f9c426149c04>	<http://purl.org/phenoscape/uuid/8c61e1e3-99db-42b2-b2c7-96e8f5f9eb1e>	anterior dorsal spine shape: forwardly curved
<http://purl.org/phenoscape/uuid/5222d316-c987-4a05-b503-1e8d1e88c51b>	<http://purl.org/phenoscape/uuid/8d01215e-942a-483d-a3d5-b409887cae58>	Urodermal: No urodermal
<http://purl.org/phenoscape/uuid/fec4c33c-df1c-4e52-bc91-a69da4af6e85>	<http://purl.org/phenoscape/uuid/8d2c57aa-464d-4c87-b335-eee02f73bac5>	Caudal skeleton: narrow
<http://purl.org/phenoscape/uuid/90d08246-7c00-479d-beae-64778012771a>	<http://purl.org/phenoscape/uuid/8f96811e-b857-4f88-9fe4-e4b5263f3d95>	The structure of individual distal segments is more complex (Fig. 3C,D3-5) than the unjointed proximal segments, which appear to be rounded in section and slightly expanded where they meet the jointed segments of the distal frill.: 
<http://purl.org/phenoscape/uuid/cdf0f1ef-4dca-4242-8791-a5e9adfe3aa8>	<http://purl.org/phenoscape/uuid/9028a0aa-2443-49ed-8d20-976fbbf962c1>	Ventral reorientation of the ventralmost ray of the upper caudal fin lobe: Ventral reorientation of the ventralmost ray of the upper caudal fin lobe
<http://purl.org/phenoscape/uuid/d19d4f6a-4a3d-4e46-8a47-3202ef358689>	<http://purl.org/phenoscape/uuid/91909726-fd54-423f-b080-ed62b2724b2a>	Expansion of the penultimate principal caudal-fin ray of the lower lobe of the caudal fin in the males: Expansion of the penultimate principal caudal-fin ray of the lower lobe of the caudal fin in the males
<http://purl.org/phenoscape/uuid/fb624e58-9616-4153-9a1f-fea8de455fbf>	<http://purl.org/phenoscape/uuid/91b22219-89c0-4f7b-8d70-353468dcc26e>	caudal fin: homocercal
<http://purl.org/phenoscape/uuid/33ffb2a7-a95c-4ed4-868b-f3548ea89b2e>	<http://purl.org/phenoscape/uuid/92f2902c-d3a0-4967-878a-7201fb98bbc7>	Posterior nuchal plate: present
<http://purl.org/phenoscape/uuid/26f20e1c-dffb-431d-8009-b12b3dc4f737>	<http://purl.org/phenoscape/uuid/9a37d3a8-37ba-4aff-b7a9-0150775613be>	Middle nuchal plate: middle nuchal plate contacting laterally posterior nuchal plate, Fig. 1
<http://purl.org/phenoscape/uuid/fa3fdc8d-e6b2-4317-937b-630d78c1ca77>	<http://purl.org/phenoscape/uuid/9d280ff0-978e-4e2a-bf45-09bf855fff36>	distinct articular facets on proximal mesomere: present
<http://purl.org/phenoscape/uuid/9673b8dd-f09d-4184-8e7c-3d1734f468eb>	<http://purl.org/phenoscape/uuid/9d4b9869-55dd-4fc9-8a65-9669f1b2b365>	dorsal-fin bony stay: present
<http://purl.org/phenoscape/uuid/effa282e-60da-4a7f-ac80-e2788abb0a92>	<http://purl.org/phenoscape/uuid/a10658c9-901e-4f38-aa3c-930d11718c98>	Pectoral girdle: all bones of endoskeletal pectoral girdle absent
<http://purl.org/phenoscape/uuid/8b599eb9-8798-45e4-95d2-e74b7336b87b>	<http://purl.org/phenoscape/uuid/a19c1998-af50-4bb1-9ec5-e074f18e019f>	No. of epurals: no epurals
<http://purl.org/phenoscape/uuid/23270385-a732-459e-9a7d-d71131defc5d>	<http://purl.org/phenoscape/uuid/a55e7260-b57b-4e29-9908-f8bdbfa9c9a2>	Articulation of hypurals 1 and 2 to PU1: a tight and wide articulatory surface between hypural plate and PU1, resembling a baIl-and-socket arrangement
<http://purl.org/phenoscape/uuid/6410eeb9-1a9f-481c-abd8-647dacc94ee1>	<http://purl.org/phenoscape/uuid/a68bf69d-0965-4960-af1e-23b3b4279c6d>	Fusion of hypurals 3 and 4 to preural centrum 1: fusion
<http://purl.org/phenoscape/uuid/25e117f5-10f1-4de6-ae8f-6dea650ccc2f>	<http://purl.org/phenoscape/uuid/b3cfb13e-84a8-4c3b-a0c6-fc64ce22b465>	Anterior border of pectoral spine: flat, with or without serration
<http://purl.org/phenoscape/uuid/c55051f0-07b0-4ea5-bf79-9b59547a3dc8>	<http://purl.org/phenoscape/uuid/b7f23c43-cec8-4895-bc6b-f10bdb71562e>	Relation between first hypural and first preural centrum: autogenous
<http://purl.org/phenoscape/uuid/25e117f5-10f1-4de6-ae8f-6dea650ccc2f>	<http://purl.org/phenoscape/uuid/bbafbcd2-4ee7-4ce0-ae76-f1e4c3c66720>	Anterior border of pectoral spine: with well developed anterior keel
<http://purl.org/phenoscape/uuid/3f6df904-d8da-4c27-88b8-a8a7ca3ec45a>	<http://purl.org/phenoscape/uuid/bbeb91b3-75c0-446d-be5d-b276224f09c3>	Anterior ridge of pectoral spine: present
<http://purl.org/phenoscape/uuid/b1d2a9da-0a12-412b-a35b-5ef94fbc4a0a>	<http://purl.org/phenoscape/uuid/be53d11b-fe30-4a69-85c4-ec0a3763d845>	Number of dorsal-fin pterygiophores anterior to neural spine of fourth abdominal vertebra: none
<http://purl.org/phenoscape/uuid/7c68268b-80f3-49ae-bec5-db230bd94c1b>	<http://purl.org/phenoscape/uuid/bf14f9ad-8f1c-4a94-9b71-e0ccfd6c3708>	Epural and neural arch of compound centrum: are separated
<http://purl.org/phenoscape/uuid/3f6df904-d8da-4c27-88b8-a8a7ca3ec45a>	<http://purl.org/phenoscape/uuid/c0b319f4-b0c5-416b-b611-d5316989b595>	Anterior ridge of pectoral spine: absent
<http://purl.org/phenoscape/uuid/23270385-a732-459e-9a7d-d71131defc5d>	<http://purl.org/phenoscape/uuid/c14d0d0d-b5ee-4b26-9d87-c60ca5ae6ed9>	Articulation of hypurals 1 and 2 to PU1: hypural 1 and 2 in (or without) contact with PU1 but without a large articulatory surface with PU1
<http://purl.org/phenoscape/uuid/88c6b2a0-73fa-460e-b7ae-6943c33c4a9e>	<http://purl.org/phenoscape/uuid/c9f928c5-e695-4f9b-97ed-6fc46cdeb6de>	Axial radials articulate with pre-and post-axial radials: present
<http://purl.org/phenoscape/uuid/54e2e047-7f7c-47d2-bebb-95ff6d61c3e7>	<http://purl.org/phenoscape/uuid/d216a266-98a2-4825-bfa2-894d201b8a60>	Fusion of proximal tip of hypurals to preural centrum 1: fusion
<http://purl.org/phenoscape/uuid/c20304c4-1b82-436a-b133-5ae67b4e4ab0>	<http://purl.org/phenoscape/uuid/d3797dde-c0a1-4bca-87b0-080cbe53c8dc>	Parhypural and lower hypural plate: autogenous
<http://purl.org/phenoscape/uuid/3426c87c-8339-4e45-87af-c0c597caef1e>	<http://purl.org/phenoscape/uuid/dd1b55a7-30a2-48cc-864d-c6f7ee8094fb>	Spinous dorsal pterygiophores: absent
<http://purl.org/phenoscape/uuid/cb2eb713-0c30-4591-841e-0b612cc72385>	<http://purl.org/phenoscape/uuid/dd96fa6f-6e6d-457b-bf48-813261720d4a>	Pectoral spine denticles: present along trailing edge
<http://purl.org/phenoscape/uuid/ed830ad6-e53c-4a9e-bb67-a0b1074967d7>	<http://purl.org/phenoscape/uuid/e097a059-d651-454c-aa28-b1f7eb879c34>	Pectoral spine tip: sharp
<http://purl.org/phenoscape/uuid/88c6b2a0-73fa-460e-b7ae-6943c33c4a9e>	<http://purl.org/phenoscape/uuid/e24aa15d-0647-4b1c-ae97-5876f1f8b6a1>	Axial radials articulate with pre-and post-axial radials: absent
<http://purl.org/phenoscape/uuid/fb307f52-ba86-422d-a823-e2b9bafadf67>	<http://purl.org/phenoscape/uuid/e6efc7e6-fc6b-48ca-b66c-50d798351bb0>	Epural: thin and rod shaped
<http://purl.org/phenoscape/uuid/4795d75d-d1dd-48a1-a516-c43a6db8af15>	<http://purl.org/phenoscape/uuid/e72933bb-b3b6-4995-804e-33a4564095f1>	Preural centrum 1: Fused/not fused to upper hypural plate: fused
<http://purl.org/phenoscape/uuid/5f7f5bcd-9c37-4165-8334-7bb21c61ef1d>	<http://purl.org/phenoscape/uuid/e751fc1e-0e21-44dd-be55-5eb974736b51>	Number of epurals: states 1, 2 and 3
<http://purl.org/phenoscape/uuid/d5049130-5243-4938-a8b2-58cbe00a90ea>	<http://purl.org/phenoscape/uuid/ea9e7c64-05e2-427a-baf0-96db42e6a17d>	Epural: bone is markedly curved posteriorly, leaving an elliptical space between it and the uroneural
<http://purl.org/phenoscape/uuid/e9db3bc7-b93e-4529-bfd1-913be12df6ed>	<http://purl.org/phenoscape/uuid/eae6a4f5-499d-4716-aee6-55c9423ffe66>	pectoral fin rays: absent
<http://purl.org/phenoscape/uuid/136c5593-53c9-4121-9f99-a6d5dbfd22fa>	<http://purl.org/phenoscape/uuid/ecfc67b9-fa47-4e70-a331-2d76f225dd41>	Dorsal-fin pterygiophores, number anterior to the neural spine of the fourth abdominal vertebra: none
<http://purl.org/phenoscape/uuid/5849aa28-2d03-40e2-8e1b-e519cbb66201>	<http://purl.org/phenoscape/uuid/f0de532c-6166-4393-b3b4-53e32cf93e84>	Barbels: simple, long, slightly compressed, with papillae along inferior surfaces. Maxillary barbel reaching to or surpassing tip of postcleithral process. Outer mental barbel reaching point of insertion of pectoral spine. Inner mental barbel slightly shorter than outer mental barbel
<http://purl.org/phenoscape/uuid/8da5a155-f728-4d5a-ae30-c676461ca63b>	<http://purl.org/phenoscape/uuid/f6aff325-a2db-4cc7-815e-6f54231e847d>	Preural centrum 1 and ural centrum 1 fused (dirual terminomolgy; reversed in Lepidogalaxias): Preural centrum 1 and ural centrum 1 fused
<http://purl.org/phenoscape/uuid/1859fe24-e1c5-48ea-92fe-c37302c95f1a>	<http://purl.org/phenoscape/uuid/f8486ce0-74b9-4a5a-9265-623a9db5be63>	preural centrum 1: present
<http://purl.org/phenoscape/uuid/af1e2aac-4ab7-46ba-aaaf-6c7ee738419f>	<http://purl.org/phenoscape/uuid/f868e131-9479-401d-8ceb-ecd2bbd0f6ff>	Barbels: simple, long, slightly compressed, with papillae along inferior surfaces. Maxillary barbel reaching to or surpassing tip of postcleithral process. Outer mental barbel reaching point of insertion of pectoral spine. Length of inner mental barbel usually half length of outer mental barbel
<http://purl.org/phenoscape/uuid/3346daf7-f380-40ce-b154-94074854735e>	<http://purl.org/phenoscape/uuid/0f4eee96-b560-4614-8a74-714c7af77d73>	6th hypural: absent
<http://purl.org/phenoscape/uuid/a5f68430-f088-41be-bafd-fb04dd949598>	<http://purl.org/phenoscape/uuid/197cf7e7-04bb-4ace-bcdb-22479ca14f3f>	Barbel: simple, long, covered with papillae along inferior surfaces. Maxillary barbel reaching to or surpassing tip of postcleithral process. Outer mental barbel reaching point of insertion of pectoral spine. Inner mental barbel shorter, approximately two thirds of length of outer mental barb`
<http://purl.org/phenoscape/uuid/f3666287-8ae9-40ad-95ea-f4f37b1ba6dd>	<http://purl.org/phenoscape/uuid/1a8aeb9e-c4da-4f60-90b1-082bcd25958e>	Pectoral-fin spine: present
<http://purl.org/phenoscape/uuid/5530ecea-e32d-46cc-81ac-836b3c6542c2>	<http://purl.org/phenoscape/uuid/1ad3acbc-7e10-42d4-ae92-6d777c191fb4>	Hypural 6 and its cartilage precursor: absent
<http://purl.org/phenoscape/uuid/ed468a3e-c8b2-4441-9050-11e4d9d60fd5>	<http://purl.org/phenoscape/uuid/2bb91fd9-3b0f-475d-b43e-9badd42f66b7>	Pectoral-fin spine: present
<http://purl.org/phenoscape/uuid/d55fb553-1fc1-46f7-b404-ad162fabdd81>	<http://purl.org/phenoscape/uuid/2e67326b-8c0c-4b9d-bba4-a7c14a42af03>	Hypural 6: absent
<http://purl.org/phenoscape/uuid/a5ad3de9-0b00-46f8-801d-efc23ac5ca91>	<http://purl.org/phenoscape/uuid/31a15bbb-473e-47a0-b7e0-caf37797e4b9>	Scales on caudal fin: restricted to base of rays
<http://purl.org/phenoscape/uuid/2c941c0a-0c99-463b-85a6-1ddacbcc2761>	<http://purl.org/phenoscape/uuid/33439e14-267f-407b-9902-6f8d5430f08c>	Anal-fin pterygiophores: fused (BALDWIN & JOHNSON 1996; character 84)
<http://purl.org/phenoscape/uuid/f7ff2c48-b2a4-4e6b-8447-2bfcad71621e>	<http://purl.org/phenoscape/uuid/372839c6-1012-4470-877d-302b67330148>	Hypural 6: absent
<http://purl.org/phenoscape/uuid/02bba224-2e81-4d80-ab2d-82eda4c6876a>	<http://purl.org/phenoscape/uuid/3909b103-4d45-4a31-b513-8efe3c9f10d5>	Posterior process of cleithrum or pectoral spine: present
<http://purl.org/phenoscape/uuid/a79fdb45-179b-47ab-ab0e-feeac50ee983>	<http://purl.org/phenoscape/uuid/39c89642-826e-499f-973f-7859f9d1b26e>	(H13.) (b) Fin-spines lack trabecular osteodentine in outer trunk layer: present
<http://purl.org/phenoscape/uuid/ba1a3255-376e-459f-9978-7e65252ae336>	<http://purl.org/phenoscape/uuid/3ede6ca6-79ee-4743-bd99-f068cd7b981a>	Fusion of Adjacent Pterygiophores: Adjacent dorsal-fin pterygiophores fused
<http://purl.org/phenoscape/uuid/f2cc41ac-aa73-4621-aaf7-0bf73a9edb71>	<http://purl.org/phenoscape/uuid/3efb8293-d3ef-45e4-bc78-94beb5f490a4>	Ossified portion of pectoral spine: strongly reduced
<http://purl.org/phenoscape/uuid/ce2f14e5-4eb9-44f7-8d2a-774caebf1ef8>	<http://purl.org/phenoscape/uuid/454fab06-ccd0-43d3-a454-19c722833a02>	Dorsal-fin middle radials: absences and reductions in the dorsal-fin skeleton
<http://purl.org/phenoscape/uuid/a6a585f1-760c-4b2e-b30f-737e10155b50>	<http://purl.org/phenoscape/uuid/47068d5c-26f0-4677-94cd-bd970bec31c5>	Pectoral-fin rays: i10*(43) or 11(18)
<http://purl.org/phenoscape/uuid/798d164a-db88-429a-a6cc-def87fe80616>	<http://purl.org/phenoscape/uuid/479940e2-629d-4b13-8794-c3608beaa6f4>	Pectoral-fin spine: present
<http://purl.org/phenoscape/uuid/0245c4f5-f811-451b-ba09-6b82f9a420b5>	<http://purl.org/phenoscape/uuid/48c49f89-5c7a-4918-8538-34018a99e237>	Distal portion of pectoral-fin spine: present
<http://purl.org/phenoscape/uuid/a6978122-945d-4366-b0e0-778ae3887356>	<http://purl.org/phenoscape/uuid/496ce87d-a6aa-4604-9564-5b53582a4321>	Anal-fin pterygiophore: present
<http://purl.org/phenoscape/uuid/5decad35-cb46-479f-a92e-49cfb4911459>	<http://purl.org/phenoscape/uuid/530e5efe-6376-4679-a643-1f0246e1b79d>	Hypural 7: absent
<http://purl.org/phenoscape/uuid/c5403c39-e56e-45b4-ae9d-15ff907b79a8>	<http://purl.org/phenoscape/uuid/54f4de24-391d-4f4e-a883-983b64813d80>	Caudal-fin shape: truncate
<http://purl.org/phenoscape/uuid/768e3d47-1c91-4e66-b03d-393f75f6d067>	<http://purl.org/phenoscape/uuid/55d33176-f7da-480e-bbcb-b12c5c3d9eda>	Caudal fin shape: caudal fin deeply forked; distinct dorsal and ventral lobes
<http://purl.org/phenoscape/uuid/a18ef0fb-66b8-48fd-a99c-1de791a40a66>	<http://purl.org/phenoscape/uuid/6125815f-ca2a-49d0-b8bd-eb712fc2196f>	Anal fin with double base-plate: absent
<http://purl.org/phenoscape/uuid/a7894500-d4ac-4878-a1e0-e5034a5a9800>	<http://purl.org/phenoscape/uuid/613c8c93-6334-45a3-ac88-aa7cc0b9124b>	Dorsal and anal fins acuminate: absent
<http://purl.org/phenoscape/uuid/183ab0d2-8aa9-45e7-bdca-65c2f47361ca>	<http://purl.org/phenoscape/uuid/6173cd17-2717-4209-a3c4-9efef8c5b681>	Caudal-fin: forked, both lobes about equally developed
<http://purl.org/phenoscape/uuid/05148735-d8d1-497f-9cd2-dac2fffba728>	<http://purl.org/phenoscape/uuid/6338dc29-1dae-43fc-9d5c-031a7e71146c>	Caudal fin: moderately forked, simple principal rays (uppermost and lowermost principal ray of caudal lobes) of same thickness as branched principal rays (not greatly thickened as in some Rasbora)
<http://purl.org/phenoscape/uuid/d61c833d-cc36-4c28-af6b-95c75286efb8>	<http://purl.org/phenoscape/uuid/65b6f16d-331f-46e7-8162-929f69e903cd>	Caudal fin: subtruncate; principal caudal-fin rays ii,4+4,ii. Dorsal procurrent caudal-fin rays 6 or 7; ventral procurrent caudal-fin rays 7. Both caudal-fin lobes with four branched rays. Middle rays of caudal fin branched once
<http://purl.org/phenoscape/uuid/6338111a-d173-4a0c-886a-be984830c96f>	<http://purl.org/phenoscape/uuid/67af5e79-d0ad-4d7a-bbed-74c6f06f5047>	Caudal fin: forked
<http://purl.org/phenoscape/uuid/8095176e-0cd4-473e-9b9d-bcc32148b6b1>	<http://purl.org/phenoscape/uuid/68c3c584-ad47-47ad-9bb5-029b7d393705>	Caudal fin: forked, upper and lower lobes rounded, upper lobe slightly longer than lower
<http://purl.org/phenoscape/uuid/01c7f578-aabf-432e-85bf-e2ceb812bd85>	<http://purl.org/phenoscape/uuid/6beadd56-2eaa-4eb5-85d8-9f4492cbddaf>	Pelvic-fin position: Pelvic fins anterior, in line  with pleural rib of vertebra five or less
<http://purl.org/phenoscape/uuid/fc2387cb-2561-4972-a09d-4bdbad455f5e>	<http://purl.org/phenoscape/uuid/6cb138fa-e4d1-4729-93e5-1d49a0463a49>	Median fin spines: absent
<http://purl.org/phenoscape/uuid/e73c4edd-0a93-446c-814b-5c46fd18a708>	<http://purl.org/phenoscape/uuid/7108fa1f-5ba9-426e-ad04-ca9b3aff88b8>	Caudal fin: forked
<http://purl.org/phenoscape/uuid/96167982-63ff-4ac1-85ec-15468fc73e31>	<http://purl.org/phenoscape/uuid/71400b41-a2ee-4ada-b5c3-2894c3942acc>	Pectoral spine: completely covered with small odontodes and with few small serrations along posterior margin from mid-length to distal tip
<http://purl.org/phenoscape/uuid/6af964fe-a610-4116-ad25-9e9f1d349318>	<http://purl.org/phenoscape/uuid/7211f5b4-afbd-46a6-85e4-9577364db4b3>	Caudal fin: truncate to slightly emarginate, with 8,3 or 7,4 rays.
<http://purl.org/phenoscape/uuid/ac98dbde-a256-4129-bbe7-c56765de049b>	<http://purl.org/phenoscape/uuid/7508e18c-fba7-40ea-a656-0cd1b1d9256d>	Anal-fin ray six in adult males: branched and slender distally
<http://purl.org/phenoscape/uuid/ecf7427e-aa94-4902-84da-dcf6fa3a30f0>	<http://purl.org/phenoscape/uuid/75a1d606-feef-41f0-8ac7-1ce5842e5778>	Caudal fin: forked
<http://purl.org/phenoscape/uuid/43f1aea2-19ef-4258-acde-b807c437796f>	<http://purl.org/phenoscape/uuid/7945aea5-b61c-4679-8e28-4629302105d8>	Hypural 6: absent
<http://purl.org/phenoscape/uuid/f49302b8-b7c2-4598-83b3-0ed6f38ab08b>	<http://purl.org/phenoscape/uuid/7c90b9b9-dd2c-4206-a3fc-5ff964ac2a8e>	Median fin spines: absent
<http://purl.org/phenoscape/uuid/387aa8ab-7324-4cfd-967f-3633d539bc87>	<http://purl.org/phenoscape/uuid/7eea663b-995d-44d5-b679-cb55eb1df7a7>	Pouch scale: present
<http://purl.org/phenoscape/uuid/032d5213-057a-41b2-b4e4-fe3010bf88b6>	<http://purl.org/phenoscape/uuid/8316cddf-b772-4fa4-9cea-f59836bc31f3>	Pectoral fin spine curvature: plate-like
<http://purl.org/phenoscape/uuid/a5be17da-108d-4128-89d8-a9c889e2bcb8>	<http://purl.org/phenoscape/uuid/8332036f-8367-42ee-8dc2-cd38134ed4ff>	Caudal-fin rays: thin
<http://purl.org/phenoscape/uuid/99426ff1-a91a-4126-8071-aa4013dea33c>	<http://purl.org/phenoscape/uuid/8432ae5c-a0a3-41e0-9668-7c0da64bd311>	Pectoral spine: well developed, depressed and curved, its tip usually reaching anal-fin origin. Two or three grooves on both upper and lower surfaces of pectoral spine. Strong hook-like teeth present along anterior and posterior margins of pectoral spine; basal most teeth (i.e., first five) along anterior margin directed toward base of spine, more distal teeth directed toward spine tip; all teeth along posterior margin directed toward pectoral-spine base
<http://purl.org/phenoscape/uuid/a76a14f1-d2de-4990-88d0-ab3788e1448e>	<http://purl.org/phenoscape/uuid/8650fe94-5d0f-4e96-a063-cb217b3956b4>	Inner caudal fin rays: not expanded
<http://purl.org/phenoscape/uuid/a7f43e26-9d5d-461e-838f-f57e9c3c2435>	<http://purl.org/phenoscape/uuid/872a213f-9495-4d5f-a583-6e9ee879949d>	Relationship of parhypural to preural centrum 1: detached
<http://purl.org/phenoscape/uuid/0233dacf-c22c-498c-a932-5e5ee27cc937>	<http://purl.org/phenoscape/uuid/878983e9-64ae-41f2-b744-fa0aaa994371>	Dorsal-fin spine development: weakly ossified, sharp, longer than pectoral spine 0110
<http://purl.org/phenoscape/uuid/5396e2bc-8dca-4eea-a60b-6c00530b0f04>	<http://purl.org/phenoscape/uuid/8c92e1a5-e838-49e0-a476-5c385ca52a7d>	Dorsal-fin spine: present
<http://purl.org/phenoscape/uuid/62358d86-a088-4012-b87a-204f3e802d65>	<http://purl.org/phenoscape/uuid/8db0aa0c-130f-4008-b5d9-c13f9c45ac87>	Parhypural and hypural one: separated
